7,Tagliatelle   ai funghi porcini,Pollo al   curry,Pasta   alla marinara,Gnocco   fritto,Torta   rustica salata,Zuppa di   ceci,Pollo al   limone,Gateau   di patate,Pesce   spada alla siciliana,Cornetti   salati
7,Tagliatelle   ai funghi porcini,Pesce   spada alla siciliana,Pollo al   curry,Gateau   di patate,Zuppa di   ceci,Pasta   alla marinara,Torta   rustica salata,Gnocco   fritto,Cornetti   salati,Pollo al   limone
8,Pasta al   forno,Risotto   ai funghi porcini,Arrosto   di vitello al forno con patate,Cozze   gratinate,Capesante   gratinate,Scaloppine   ai funghi,Fiori di   zucca in pastella,Insalata   tiepida di polpo e patate,Gnocco   fritto,Spaghetti   alla puttanesca
8,Pasta al   forno,Gnocco   fritto,Risotto   ai funghi porcini,Spaghetti   alla puttanesca,Scaloppine   ai funghi,Arrosto   di vitello al forno con patate,Insalata   tiepida di polpo e patate,Capesante   gratinate,Fiori di   zucca in pastella,Cozze   gratinate
9,Spezzatino   di vitello con patate,Polpette   di carne,Passatelli   in brodo,Pasta   agli asparagi,Arancini,Melanzane   al forno,Polpette   di zucchine,Pollo   alle mandorle,Pollo   alla cacciatora,Pasta   con la zucca
9,Spezzatino   di vitello con patate,Polpette   di carne,Pollo   alle mandorle,Pollo   alla cacciatora,Passatelli   in brodo,Pasta   con la zucca,Pasta   agli asparagi,Arancini,Melanzane   al forno,Polpette   di zucchine
9,Pollo   alle mandorle,Polpette   di carne,Spezzatino   di vitello con patate,Pollo   alla cacciatora,Melanzane   al forno,Pasta   agli asparagi,Passatelli   in brodo,Pasta   con la zucca,Arancini,Polpette   di zucchine
9,Pasta   agli asparagi,Spezzatino   di vitello con patate,Passatelli   in brodo,Arancini,Pollo   alle mandorle,Pollo   alla cacciatora,Pasta   con la zucca,Polpette   di zucchine,Melanzane   al forno,Polpette   di carne
9,Spezzatino   di vitello con patate,Polpette   di carne,Pollo   alla cacciatora,Pasta   con la zucca,Pollo   alle mandorle,Melanzane   al forno,Polpette   di zucchine,Pasta   agli asparagi,Passatelli   in brodo,Arancini
10,Mozzarella   in carrozza,Fiori di   zucca in pastella,Melanzane   al forno,Spaghetti   con crema di burrata e melanzane,Cosce di   pollo al forno,Salmone   croccante,Capesante   gratinate,Risotto   ai funghi porcini,Risotto   allo Zafferano,Scaloppine   ai funghi
10,Capesante   gratinate,Melanzane   al forno,Risotto   allo Zafferano,Risotto   ai funghi porcini,Spaghetti   con crema di burrata e melanzane,Scaloppine   ai funghi,Cosce di   pollo al forno,Salmone   croccante,Fiori di   zucca in pastella,Mozzarella   in carrozza
1,Risotto con zucchine,Cozze gratinate,Pollo al limone,Pollo alla cacciatora,Torta salata di zucchine,Seppie con piselli,Pasta alla zozzona,Cornetti salati,Orecchiette broccoli e salsiccia,Polpettine di tonno e ricotta
3,Risotto   allo Zafferano,Insalata   tiepida di polpo e patate,Gamberoni   al forno,Carbonara   di mare,Pasta   con asparagi e pancetta,Mozzarella   in carrozza,Pollo al   limone,Gateau   di patate,Polpette   di verdure,Polpette   di melanzane
3,Polpette   di melanzane,Risotto   allo Zafferano,Pollo al   limone,Gateau   di patate,Carbonara   di mare,Pasta   con asparagi e pancetta,Gamberoni   al forno,Mozzarella   in carrozza,Insalata   tiepida di polpo e patate,Polpette   di verdure
4,Arancini,Gnocchi   alla sorrentina,Cannelloni,Spezzatino   di vitello con patate,Salmone   al forno,Scaloppine   al limone,Cornetti   salati,Fiori di   zucca in pastella,Polpette   di zucchine,Linguine   gamberetti zucchine e zafferano
4,Arancini,Cannelloni,Scaloppine   al limone,Fiori di   zucca in pastella,Spezzatino   di vitello con patate,Gnocchi   alla sorrentina,Cornetti   salati,Polpette   di zucchine,Linguine   gamberetti zucchine e zafferano,Salmone   al forno
9,Polpette   di carne,Pollo   alla cacciatora,Arancini,Pollo   alle mandorle,Melanzane   al forno,Polpette   di zucchine,Pasta   con la zucca,Spezzatino   di vitello con patate,Pasta   agli asparagi,Passatelli   in brodo
