Name;ID;Link;Category Name;Category ID;Cost;Difficulty;Preparation Time;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W
Pasta e fagioli;11;https://ricette.giallozafferano.it/Pasta-e-fagioli;First Course;3;2;1;125;Ditaloni;86;5;Tomato;253;3;Prosciutto;191;2;Beans;19;5;Lard;126;2;Celery;54;2;Garlic;107;2;Laurel;128;2;Black Pepper;24;1;Onion;165;2;Carrots;49;2;Rosemary;207;1;Oil;163;1;;;;;;;;;;;;;;;;Slow cooking;7;4;Browning;2;3;;;;;;;;;
Pasta alla gricia;12;https://ricette.giallozafferano.it/Pasta-alla-gricia;First Course;3;3;2;25;Rigatoni;203;5;Pecorino Cheese;178;4;Guanciale;117;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;3;;;;;;;;;
Crema di zucca;13;https://ricette.giallozafferano.it/Crema-di-zucca;First Course;3;2;2;50;Pumpkin;193;5;Vegetable Broth;266;3;Black Pepper;24;1;Oil;163;2;Nutmeg;160;1;Potato;188;3;Onion;165;1;Cinnamon;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;4;Oven;6;4;Slow cooking;7;4;;;;;;
Pasta al forno;14;https://ricette.giallozafferano.it/Pasta-al-forno;First Course;3;3;2;110;Rigatoni;203;5;Eggs;90;2;Parmesan;172;2;Scamorza Cheese;220;2;Bechamel;20;3;Sausage;216;2;Pork Meat;187;3;Tomato;253;4;Oil;163;1;Nutmeg;160;1;Black Pepper;24;1;Basil;17;1;Parsley;173;1;Bread;32;1;Garlic;107;1;;;;;;;;;;Oven;6;5;Boiling;1;4;Browning;2;2;;;;;;
Calamarata;15;https://ricette.giallozafferano.it/Calamarata;First Course;3;4;2;70;Calamarata;45;5;Squid;239;4;Garlic;107;2;Chilli Peppers;61;1;Tomato;253;3;Wine;272;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;Oven;6;2;;;;;;
Pollo alle mandorle;16;https://ricette.giallozafferano.it/Pollo-alle-mandorle;Second Course;4;2;2;30;Chicken Meat;58;5;Eggs;90;2;Oil;163;1;Potato Starch;189;2;Black Pepper;24;1;Almonds;4;4;Soy Sauce;232;1;Bamboo Shoot;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;4;Slow cooking;7;3;Marinating;4;2;Boiling;1;3;;;
Torta salata di melanzane;17;https://ricette.giallozafferano.it/Torta-salata-di-melanzane;Savoury Cake;5;2;1;60;Puff Pastry;192;5;Aubergine;12;5;Scamorza Cheese;220;2;Parmesan;172;2;Tomato;253;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
Vitello tonnato;18;https://ricette.giallozafferano.it/Vitello-tonnato;Starter;1;4;2;85;Veal;265;5;Celery;54;1;Carrots;49;1;Onion;165;1;Garlic;107;1;Wine;272;1;Laurel;128;1;Clove;66;1;Oil;163;1;Black Pepper;24;1;Eggs;90;2;Tuna;260;5;Sardine;215;2;Capers;47;1;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Spaghetti con crema di burrata e melanzane;19;https://ricette.giallozafferano.it/Spaghetti-con-crema-di-burrata-e-melanzane;First Course;3;3;2;30;Spaghetti;234;5;Burrata;39;3;Basil;17;1;Oil;163;1;Aubergine;12;3;Pine Nut;182;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Deep Frying;3;2;Browning;2;1;;;;;;
Insalata tiepida di polpo e patate;20;https://ricette.giallozafferano.it/Insalata-tiepida-di-polpo-e-patate;Second Course;4;3;2;85;Squid;239;5;Potato;188;5;Laurel;128;1;Parsley;173;2;Black Pepper;24;1;Oil;163;2;Lemon;130;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;5;;;;;;;;;;;;
Scaloppine al limone;21;https://ricette.giallozafferano.it/Scaloppine-al-limone;Second Course;4;2;2;20;Veal;265;5;Fruit Juice;104;3;Black Pepper;24;1;Flour;100;1;Butter;40;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;3;Browning;2;4;;;;;;;;;
Melanzane al forno;22;https://ricette.giallozafferano.it/Melanzane-al-forno;Starter;1;1;1;55;Aubergine;12;5;Tomato;253;3;Scamorza Cheese;220;3;Olives;164;1;Capers;47;1;Oil;163;1;Black Pepper;24;1;Oregano;168;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
Seppie con piselli;23;https://ricette.giallozafferano.it/Seppie-con-piselli;Second Course;4;3;3;70;Peas;177;4;Cuttlefish;85;5;Onion;165;1;Oil;163;1;Parsley;173;1;Vegetable Broth;266;2;Tomato;253;2;Wine;272;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stewing;9;4;Slow cooking;7;3;;;;;;;;;
Torta salata di zucchine;24;https://ricette.giallozafferano.it/Torta-salata-di-zucchine;Savoury Cake;5;3;3;75;Flour;100;2;Oil;163;2;Vinegar;268;2;Thyme;252;1;Zucchini;276;4;Shallot;229;2;Black Pepper;24;2;Eggs;90;3;Scamorza Cheese;220;3;Parmesan;172;2;Pancetta;170;2;;;;;;;;;;;;;;;;;;;;;;Stewing;9;3;Oven;6;4;;;;;;;;;
Polpettine di tonno e ricotta;25;https://ricette.giallozafferano.it/Polpettine-di-tonno-e-ricotta;Second Course;4;2;2;30;Tuna;260;4;Ricotta Cheese;202;4;Alice fish;2;2;Capers;47;1;Parsley;173;1;Eggs;90;2;Parmesan;172;2;Black Pepper;24;1;Bread;32;1;Oil;163;3;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;;;;;;;;;;;;
Polpette di melanzane;26;https://ricette.giallozafferano.it/Polpette-di-melanzane;Starter;1;2;2;90;Aubergine;12;4;Bread;32;1;Parmesan;172;2;Eggs;90;2;Garlic;107;1;Black Pepper;24;1;Parsley;173;1;Oil;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;Oven;6;2;;;;;;;;;
Conchiglioni ripieni;27;https://ricette.giallozafferano.it/Conchiglioni-ripieni;First Course;3;3;3;105;Conchiglioni;73;4;Tomato;253;3;Parmesan;172;2;Oil;163;2;Onion;165;2;Black Pepper;24;1;Pork Meat;187;3;Beef;21;3;Ricotta Cheese;202;2;Mozzarella;153;2;Wine;272;1;Eggs;90;2;Garlic;107;1;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;4;Browning;2;2;Oven;6;3;;;
Risotto allo Zafferano;28;https://ricette.giallozafferano.it/Risotto-allo-Zafferano;First Course;3;3;3;30;Saffron;209;3;Rice;201;4;Butter;40;2;Onion;165;2;Parmesan;172;2;Wine;272;1;Vegetable Broth;266;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mixing;5;3;Browning;2;2;;;;;;;;;
Couscous alle verdure;29;https://ricette.giallozafferano.it/Couscous-alle-verdure;First Course;3;2;2;40;Couscous;78;5;Oil;163;2;Turmeric;262;1;Carrots;49;2;Aubergine;12;2;Tomato;253;2;Chilli Peppers;61;2;Onion;165;2;Garlic;107;2;Zucchini;276;2;Peas;177;2;Ginger;108;1;Mint;147;1;;;;;;;;;;;;;;;;Browning;2;4;Slow cooking;7;4;;;;;;;;;
Polpette al sugo;30;https://ricette.giallozafferano.it/Polpette-al-sugo;Second Course;4;2;1;50;Beef;21;5;Sausage;216;3;Bread;32;2;Parmesan;172;2;Eggs;90;3;Parsley;173;1;Oregano;168;1;Nutmeg;160;1;Black Pepper;24;1;Oil;163;1;Tomato;253;3;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;3;Browning;2;4;;;;;;;;;
Pasta e zucchine;31;https://ricette.giallozafferano.it/Pasta-e-zucchine;First Course;3;1;1;20;Farfalle;92;5;Zucchini;276;4;Basil;17;2;Oil;163;1;Black Pepper;24;1;Garlic;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;Browning;2;2;;;;;;
Salmone al forno;32;https://ricette.giallozafferano.it/Salmone-al-forno;Second Course;4;3;2;50;Salmon;214;5;Potato;188;3;Lemon;130;2;Wine;272;1;oil;163;1;Parsley;173;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
Calamari ripieni;33;https://ricette.giallozafferano.it/Calamari-ripieni;Second Course;4;4;2;60;Squid;239;5;Wine;272;2;Garlic;107;1;Bread;32;1;Alice fish;2;4;Eggs;90;2;Parmesan;172;1;Wine;272;1;Parsley;173;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;Browning;2;3;;;;;;;;;
Pasta e patate alla napoletana;34;https://ricette.giallozafferano.it/Pasta-e-patate-alla-napoletana;First Course;3;2;2;70;Mixed Pasta;149;5;Potato;188;3;Celery;54;1;Carrots;49;1;Onion;165;1;Lard;126;3;Tomato;253;1;Rosemary;207;1;Parmesan;172;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;3;;;;;;;;;
Gnocchi alla romana;35;https://ricette.giallozafferano.it/Gnocchi-alla-romana;First Course;3;2;3;50;Semolina;227;4;Butter;40;2;Parmesan;172;2;Milk;146;1;Eggs;90;2;Nutmeg;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;3;Oven;6;3;;;;;;;;;
Pizzoccheri alla valtellinese;36;https://ricette.giallozafferano.it/Pizzoccheri-alla-valtellinese;First Course;3;2;3;45;Pizzoccheri;184;4;Butter;40;3;Parmesan;172;3;Latteria Cheese;127;2;Potato;188;2;Garlic;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Pasta e lenticchie;37;https://ricette.giallozafferano.it/Pasta-e-lenticchie;First Course;3;1;2;70;Ditaloni;86;5;Lentils;132;3;Pancetta;170;3;Tomato;253;3;Carrots;49;1;Onion;165;1;Celery;54;1;Vegetable Broth;266;2;Garlic;107;1;Rosemary;207;1;Thyme;252;1;Parmesan;172;1;Chilli Peppers;61;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;Boiling;1;4;Stewing;9;3;Browning;2;2;;;;;;
Pasta allo scarpariello;38;https://ricette.giallozafferano.it/Pasta-allo-scarpariello;First Course;3;2;1;20;Spaghetti;234;5;Tomato;253;3;Pecorino Cheese;178;2;Parmesan;172;1;Basil;17;1;Chilli Peppers;61;1;Oil;163;1;Garlic;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;;;;;;;;;
Cannelloni;39;https://ricette.giallozafferano.it/Cannelloni;First Course;3;2;2;140;Flour;100;5;Eggs;90;2;Tomato;253;3;Bechamel;20;3;Sausage;216;3;Beef;21;3;Parmesan;172;1;Oil;163;1;Onion;165;1;Celery;54;1;Carrots;49;1;Wine;272;1;Black Pepper;24;1;;;;;;;;;;;;;;;;Oven;6;5;Slow cooking;7;3;Browning;2;2;;;;;;
Sushi;40;https://ricette.giallozafferano.it/Sushi;Complete Meal;2;3;3;110;Rice;201;5;Vinegar;268;2;Sugar;245;1;Seaweed;225;2;Avocado;13;2;Crabmeat;79;3;Salmon;214;3;Wasabi;271;2;Tuna;260;3;Soy Sauce;232;1;Ginger;108;1;;;;;;;;;;;;;;;;;;;;;;Boiling;1;5;;;;;;;;;;;;
Gamberoni al forno;41;https://ricette.giallozafferano.it/Gamberoni-al-forno;Second Course;4;3;2;32;Prawn;190;5;Lemon;130;1;Oil;163;1;Black Pepper;24;1;Parsley;173;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
Pasta alla zozzona;42;https://ricette.giallozafferano.it/Pasta-alla-zozzona;First Course;3;3;2;40;Rigatoni;203;5;Guanciale;117;3;Sausage;216;3;Pecorino Cheese;178;3;Tomato;253;3;Oil;163;1;Eggs;90;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;;;;;;;;;
Paccheri con carciofi alla carbonara;43;https://ricette.giallozafferano.it/Paccheri-con-carciofi-alla-carbonara;First Course;3;3;2;50;Paccheri;169;5;Artichoke;9;3;Eggs;90;2;Pancetta;170;3;Parmesan;172;1;Pecorino Cheese;178;2;Shallot;229;1;Wine;272;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;;;;;;;;;
Ossibuchi alla milanese;44;https://ricette.giallozafferano.it/Ossibuchi-alla-milanese;Second Course;4;3;3;90;Beef;21;4;Beef Broth;22;2;Onion;165;2;Flour;100;2;Wine;272;1;Oil;163;2;Butter;40;2;Black Pepper;24;1;Parsley;173;2;Garlic;107;2;Lemon;130;1;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;Browning;2;2;;;;;;;;;
Trofie con crema di zucchine e pancetta;45;https://ricette.giallozafferano.it/Trofie-con-crema-di-zucchine-e-pancetta;First Course;3;2;2;30;Trofie;256;5;Zucchini;276;3;Pancetta;170;3;Garlic;107;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;5;Browning;2;3;;;;;;;;;
Mozzarella in carrozza;46;https://ricette.giallozafferano.it/Mozzarella-in-carrozza;Starter;1;2;2;28;Bread;32;4;Mozzarella;153;5;Eggs;90;3;Flour;100;3;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;;;;;;;;;;;;
Brasato al Barolo;47;https://ricette.giallozafferano.it/Brasato-al-Barolo;Second Course;4;5;2;170;Beef;21;5;Wine;272;3;Carrots;49;2;Celery;54;2;Onion;165;1;Garlic;107;1;Rosemary;207;1;Laurel;128;1;Clove;66;1;Black Pepper;24;1;Cinnamon;64;1;Butter;40;1;Oil;163;1;;;;;;;;;;;;;;;;Slow cooking;7;4;Marinating;4;3;;;;;;;;;
Baccalà in umido;48;https://ricette.giallozafferano.it/Baccala-in-umido;Second Course;4;3;2;70;Cod;68;5;Onion;165;1;Flour;100;2;Tomato;253;3;Oil;163;1;Capers;47;1;Olives;164;1;Oregano;168;1;Wine;272;1;Black Pepper;24;1;Parsley;173;1;;;;;;;;;;;;;;;;;;;;;;Stewing;9;4;Browning;2;3;;;;;;;;;
Saltimbocca alla Romana;49;https://ricette.giallozafferano.it/Saltimbocca-alla-Romana;Second Course;4;3;2;25;Veal;265;5;Ham;118;4;Sage;210;1;Flour;100;2;Wine;272;1;Butter;40;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;5;;;;;;;;;;;;
Fiori di zucca in pastella;50;https://ricette.giallozafferano.it/Fiori-di-zucca-in-pastella;Starter;1;2;2;25;Zucchini Flowers;277;4;Oil;163;3;Flour;100;2;Eggs;90;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;;;;;;;;;;;;
Gnocco fritto;51;https://ricette.giallozafferano.it/Gnocco-fritto;Starter;1;2;4;62;Lard;126;3;Flour;100;3;Milk;146;2;Oil;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;;;;;;;;;;;;
Pollo al limone;52;https://ricette.giallozafferano.it/Pollo-al-limone;Second Course;4;2;2;35;Chicken Meat;58;5;Flour;100;3;Oil;163;3;Oregano;168;1;Lemon;130;3;Corn Starch;76;1;Soy Sauce;232;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;Browning;2;3;;;;;;;;;
Insalata di riso;53;https://ricette.giallozafferano.it/Insalata-di-riso-classica;First Course;3;2;2;35;Rice;201;4;Tuna;260;2;Tomato;253;2;Caciocavallo Cheese;42;2;Ham;118;2;Peas;177;2;Pepper;180;2;Olives;164;2;Cucumber;81;2;Chives;62;1;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;;;;;;;;;;;;
Piadina Romagnola;54;https://ricette.giallozafferano.it/Piadina-Romagnola;Complete Meal;2;1;2;34;Flour;100;2;Lard;126;1;Prosciutto;191;3;Squacquerone Cheese;238;3;Rocket;205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;5;;;;;;;;;;;;
Zuppa di ceci;55;https://ricette.giallozafferano.it/Zuppa-di-ceci;First Course;3;2;2;130;Chickpeas;59;4;Carrots;49;2;Celery;54;2;Onion;165;1;Oil;163;1;Rosemary;207;1;Black Pepper;24;1;Laurel;128;1;Vegetable Broth;266;2;Tomato;253;2;;;;;;;;;;;;;;;;;;;;;;;;;Stewing;9;4;Browning;2;3;;;;;;;;;
Spaghetti al tonno;56;https://ricette.giallozafferano.it/Spaghetti-al-tonno;First Course;3;1;1;15;Spaghetti;234;5;Tuna;260;3;Tomato;253;1;Oil;163;1;Black Pepper;24;1;Basil;17;1;Onion;165;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;;;;;;;;;
Pollo al curry;57;https://ricette.giallozafferano.it/Pollo-al-curry;Second Course;4;2;2;35;Chicken Meat;58;4;Cayenne;53;2;Paprika;171;2;Cumin;82;2;Black Pepper;24;2;Yogurt;274;1;Turmeric;262;2;Cinnamon;64;2;Coriander;74;2;Garlic;107;1;Chilli Peppers;61;2;Ginger;108;1;Oil;163;2;Onion;165;2;Rice;201;3;Cardamom;48;1;Anice;6;1;;;;Browning;2;1;Marinating;4;1;Boiling;1;3;Slow cooking;7;3;;;
Spezzatino di vitello con patate;58;https://ricette.giallozafferano.it/Spezzatino-di-vitello-con-patate;Second Course;4;2;2;150;Veal;265;4;Potato;188;3;Carrots;49;2;Celery;54;1;Onion;165;1;Oil;163;1;Beef Broth;22;2;Black Pepper;24;1;Flour;100;1;Wine;272;1;Sage;210;1;Rosemary;207;1;Thyme;252;1;;;;;;;;;;;;;;;;Stewing;9;5;Slow cooking;7;3;Browning;2;3;;;;;;
Risotto alla salsiccia;59;https://ricette.giallozafferano.it/Risotto-alla-salsiccia;First Course;3;3;2;50;Rice;201;5;Sausage;216;4;Beef Broth;22;3;Saffron;209;2;Wine;272;2;Shallot;229;1;Black Pepper;24;1;Oil;163;1;Butter;40;2;Parmesan;172;2;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Mixing;5;4;;;;;;;;;
Crocchette di patate;60;https://ricette.giallozafferano.it/Crocchette-di-patate;Starter;1;1;2;75;Potato;188;5;Eggs;90;3;Nutmeg;160;1;Black Pepper;24;1;Parmesan;172;2;Bread;32;2;Oil;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;5;Boiling;1;3;;;;;;;;;
Riso alla cantonese;61;https://ricette.giallozafferano.it/Riso-alla-cantonese;First Course;3;2;1;40;Rice;201;5;Peas;177;3;Ham;118;3;Eggs;90;3;Wine;272;1;Oil;163;1;Chives;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Gnocchi alla sorrentina;62;https://ricette.giallozafferano.it/Gnocchi-alla-sorrentina;First Course;3;2;2;70;Potato;188;4;Flour;100;4;Eggs;90;2;Tomato;253;3;Basil;17;1;Garlic;107;1;Oil;163;1;Mozzarella;153;3;Parmesan;172;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Oven;6;2;Browning;2;1;;;;;;
Paccheri al sugo di calamari;63;https://ricette.giallozafferano.it/Paccheri-al-sugo-di-calamari;First Course;3;3;2;45;Squid;239;4;Paccheri;169;5;Tomato;253;3;Oil;163;1;Wine;272;1;Chilli Peppers;61;1;Garlic;107;1;Parsley;173;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Orecchiette broccoli e salsiccia;64;https://ricette.giallozafferano.it/Orecchiette-broccoli-e-salsiccia;First Course;3;2;1;35;Orechiette;167;4;Broccoli;35;3;Sausage;216;3;Wine;272;1;Garlic;107;1;Thyme;252;1;Rosemary;207;1;oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;;;;;;;;;
Pollo alla cacciatora;65;https://ricette.giallozafferano.it/Pollo-alla-cacciatora;Second Course;4;3;2;70;Chicken Meat;58;5;Tomato;253;3;Onion;165;1;Carrots;49;1;Celery;54;1;Garlic;107;1;Wine;272;1;Oil;163;1;Rosemary;207;1;Parsley;173;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;Stewing;9;5;Slow cooking;7;3;;;;;;;;;
Linguine gamberetti zucchine e zafferano;66;https://ricette.giallozafferano.it/Linguine-gamberetti-zucchine-e-zafferano;First Course;3;2;1;35;Linguine;134;4;Zucchini;276;3;Prawn;190;3;Saffron;209;1;Shallot;229;3;Cream;80;2;Wine;272;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;Browning;2;2;;;;;;
Cornetti salati;67;https://ricette.giallozafferano.it/Cornetti-salati;Starter;1;2;2;45;Puff Pastry;192;3;Pancetta;170;3;Edam;89;3;Sesame;228;1;Milk;146;1;Eggs;90;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
Salmone croccante;68;https://ricette.giallozafferano.it/Salmone-croccante;Second Course;4;3;1;30;Salmon;214;5;Bread;32;1;Parsley;173;1;Thyme;252;1;Rosemary;207;1;Lemon;130;1;Oil;163;1;Pepper;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;5;;;;;;;;;;;;
